document_id,reviews,sentiment
0,embarrassed say paid 50 something replaced product twice bought  store charged 50 broke ordered replace figured expensive replacement broke two available replacement never broke year shame upgrade latest paid expensive within week cracked knew order went right brand wish could give five stars ,negative
1,think ive found time favorite definitely buying backs love get separate case cracks come alcohol wipe dust removed pad cannot believe well works assembled maybe minute probably less stick actual adhesive back sticks pretty well need deposition reason cry effort try super dummy proof instructions trust fattest anything pictures lost didn really know would protect went night dropped dropped basically flung across solid two feet concrete concrete stairsyeah drunk idiot hold phone people first glance saw huge crack spider web cracks passed thought supposed its job turns cracks damage able remove peeling effort good thing want slipping daytime judge untouched assembled second screens incident dropped ny curls past weekend judge away thing happened cracked unarmed thus last screens purchasing another set overall fantastic bang buck especially butterfingers like,positive
2,frustrated quality age invisibleshield cracked times year others ones lasted couple years tried whim can believe easy adhere instructions easy understand looks like there shiny age dim haze also seems like responds better quicker fingertips yet see long lasts note received postcard write review notsosubtle star pick matter review exactly feel far impressed especially price,negative
3,usually buy cases recently bought really cut covers back went store saw run 20 hope can amazon went chose get can beat price plus rating high assumed quality good arrived today packing nice get enough supplies definitely appreciate guide tool made installation breeze however sealing knew something wrongthere spot thought air bubble tried using credit card move luck tried methods luck got gut feeling use finger particularly thumb spot went away second returned kept pushingand pushing pushing spot want big time eventually got tired decided read less star reviews almost mention sticking lack thereof resumed pushing well thumbs killing there still little dot till bc dont want use others yetlastly quick lining application removing film back ended visible speck dust adhesive side super clean,neutral
4,ordered 11 pro its unbelievable easy install its pack get everything its unable comes instructions covers whole definitely recommend definitely buying new pack husband,positive
5,this easiest install ever comes alcohol wiped blue dust recovers 1 cloth plastic thing goes install basically drop cover pretty much perfect ligament youre ready put slide plastic piece face feel tax cover set phonethe rest happensthere probably 18 inch coverage around whole cover compared actual think normal far quality goes im sure yet since put yesterday long cover breaks actual ill happy camberwell update time passes,positive
6,bought phone multiple times dont think ever purchase another brand hate perfectly lined luckily plastic guide makes nearly impossible mess rarely issues bubbles lingering always start in best application end going away days always feels smooth looks like regular would cracked number never damaged said took lot tumbler protection finally crack always lowered applying help get best application also make sure surroundings clean dog hair dust etc otherwise adhere sticky part find annoying,positive
7,mean mean mean amazon realize stupid enough buy something doesnt fit trusted amazon thought searched “phone 12 twelve protector� least first products would 12 stuck 11 word warning  stupid trusting like double check click actually searched amazon trying sell didnt even look hopefully save someone didn hand great love include guide laying,negative
8,cheap necessary parts install easy install feels good quality plastic feel great product able successfully install first try dust air gaps gap edge pleased 2 extra case theyre needed future installed is thank,positive
9,dont understand gets good reviews 11 pro none received stuck edges bubbles edges top sides even though used application guide dont believe big stops starts round in cut lay flat part either adhesive material didnt make edges cutting process left edge nonflat knows know edges bubbles also alcohol wiped dried effectively useless positive side felt smooth application fits 11 pro correctly,negative
